Model / Component,Parameter,Value / Setting
Exponential Smoothing (ES),Smoothing coefficient (α),α = 0.2 (MLE-optimised)
Exponential Smoothing (ES),Trend component,Additive
ARIMA,"Order (p, d, q)",Selected by AIC grid search
ARIMA,Differencing (d),1 (confirmed by ADF test)
ARIMA,Information criterion,AIC
SVR,Kernel,RBF (Radial Basis Function)
SVR,Regularisation (C),100
SVR,Epsilon (ε),0.1
SVR,Gamma (γ),Scale (1 / n_features × X_var)
Random Forest (RF),Number of trees,100
Random Forest (RF),Max features,sqrt(n_features)
Random Forest (RF),Min samples split,5
MLP,Hidden layers,"2 layers: [64, 32]"
MLP,Activation,ReLU
MLP,Dropout rate,0.2
MLP,Learning rate,0.001 (Adam)
MLP,Max epochs,"200 (early stopping, patience=20)"
ELM,Hidden neurons,500
ELM,Activation,Sigmoid
LSTM (Single),Hidden units (layers),64 → 64
LSTM (Single),Dropout rate,0.2
LSTM (Single),Learning rate,0.001 (Adam)
LSTM (Single),Batch size / Epochs,32 / 100 (patience=15)
LSTM (Single),Look-back window,4 weeks
LSTM (VMD component),Hidden units (layers),64 → 64
LSTM (VMD component),Dropout rate,0.2
LSTM (VMD component),Learning rate,0.001 (Adam)
LSTM (VMD component),Batch size / Epochs,16 / 100 (patience=15)
LASSO (feature selection),Alpha (λ),CV-selected (5-fold)
LASSO (feature selection),Candidate lags,1 (weekly)
LASSO (feature selection),Candidate predictors,8 external + 5 AR lags
VMD,Number of modes (K),9 (log₂(N) heuristic)
VMD,Bandwidth constraint (α),2000
VMD,Noise tolerance (τ),0
VMD,Convergence tolerance,1×10⁻⁷
Trading Scheme,Interval threshold (δ),±3% of predicted price
Trading Scheme,Transaction cost,0.05% per trade
Trading Scheme,Position sizing,Kelly criterion (32.85%)
